date_time,th
2022-01-04T18:00:00Z,7.915
2022-01-04T19:00:00Z,7.094
2022-01-04T20:00:00Z,5.791
2022-01-04T21:00:00Z,5.054
2022-01-04T22:00:00Z,4.848
2022-01-04T23:00:00Z,NA
2022-01-05T00:00:00Z,5.037
2022-01-05T01:00:00Z,5.124
2022-01-05T02:00:00Z,5.381
2022-01-05T03:00:00Z,5.809
2022-01-05T04:00:00Z,5.774
2022-01-05T05:00:00Z,NA
2022-01-05T06:00:00Z,4.778
2022-01-05T07:00:00Z,4.207
2022-01-05T08:00:00Z,3.436
2022-01-05T09:00:00Z,2.783
2022-01-05T10:00:00Z,2.658
2022-01-05T11:00:00Z,2.586
2022-01-05T12:00:00Z,3.137
2022-01-05T13:00:00Z,3.261
2022-01-05T14:00:00Z,3.683
2022-01-05T15:00:00Z,3.349
2022-01-05T16:00:00Z,2.978
2022-01-05T17:00:00Z,2.267
2022-01-05T18:00:00Z,2.338
2022-01-05T19:00:00Z,2.321
2022-01-05T20:00:00Z,NA
2022-01-05T21:00:00Z,NA
2022-01-05T22:00:00Z,2.446
2022-01-05T23:00:00Z,NA
2022-01-06T00:00:00Z,NA
2022-01-06T01:00:00Z,2.106
2022-01-06T02:00:00Z,2.07
2022-01-06T03:00:00Z,1.836
2022-01-06T04:00:00Z,1.872
2022-01-06T05:00:00Z,NA
2022-01-06T06:00:00Z,1.457
2022-01-06T07:00:00Z,1.257
2022-01-06T08:00:00Z,0.875
2022-01-06T09:00:00Z,1.312
2022-01-06T10:00:00Z,1.764
2022-01-06T11:00:00Z,2.284
2022-01-06T12:00:00Z,3.173
2022-01-06T13:00:00Z,3.525
2022-01-06T14:00:00Z,3.735
2022-01-06T15:00:00Z,2.587
2022-01-06T16:00:00Z,1.818
2022-01-06T17:00:00Z,1.112
2022-01-06T18:00:00Z,0.435
2022-01-06T19:00:00Z,0.047
2022-01-06T20:00:00Z,-0.213
2022-01-06T21:00:00Z,-0.549
2022-01-06T22:00:00Z,-0.906
2022-01-06T23:00:00Z,-1.228
2022-01-07T00:00:00Z,-1.171
2022-01-07T01:00:00Z,-0.944
2022-01-07T02:00:00Z,-0.849
2022-01-07T03:00:00Z,-1.095
2022-01-07T04:00:00Z,-1.437
2022-01-07T05:00:00Z,-1.418
2022-01-07T06:00:00Z,-1.437
2022-01-07T07:00:00Z,-1.266
2022-01-07T08:00:00Z,-1.133
2022-01-07T09:00:00Z,-0.31
2022-01-07T10:00:00Z,1.583
2022-01-07T11:00:00Z,1.961
2022-01-07T12:00:00Z,1.763
2022-01-07T13:00:00Z,2.463
2022-01-07T14:00:00Z,2.872
2022-01-07T15:00:00Z,2.961
2022-01-07T16:00:00Z,3.102
2022-01-07T17:00:00Z,2.445
2022-01-07T18:00:00Z,1.908
2022-01-07T19:00:00Z,2.249
2022-01-07T20:00:00Z,2.356
2022-01-07T21:00:00Z,2.446
2022-01-07T22:00:00Z,2.677
2022-01-07T23:00:00Z,2.978
2022-01-08T00:00:00Z,3.665
2022-01-08T01:00:00Z,3.753
2022-01-08T02:00:00Z,3.753
2022-01-08T03:00:00Z,3.613
2022-01-08T04:00:00Z,3.84
2022-01-08T05:00:00Z,3.665
2022-01-08T06:00:00Z,3.349
